Date,Open,High,Low,Close,Volume
2023-05-08,1833.88,1844.31,1818.55,1835.8,0
2023-05-09,1812.56,1811.6,1804.58,1811.45,0
2023-05-10,1816.49,1826.08,1809.79,1820.12,0
2023-05-11,1811.74,1809.1,1805.17,1808.15,0
2023-05-12,1852.6,1873.39,1860.22,1861.73,0
2023-05-15,1825.57,1828.76,1816.44,1825.61,0
2023-05-16,1812.5,1815.44,1808.09,1808.76,0
2023-05-17,1842.26,1846.82,1833.85,1842.45,0
2023-05-18,1829.31,1827.33,1825.79,1826.33,0
2023-05-19,1807.64,1822.48,1807.47,1809.97,0
2023-05-22,1812.55,1826.63,1805.9,1814.82,0
2023-05-23,1843.13,1841.03,1828.75,1838.17,0
2023-05-24,1823.49,1831.75,1818.17,1825.48,0
2023-05-25,1810.03,1816.24,1796.8,1808.81,0
2023-05-26,1832.64,1841.44,1826.71,1831.08,0
2023-05-29,1846.71,1836.39,1826.97,1834.7,0
2023-05-30,1831.36,1829.5,1821.57,1826.79,0
2023-05-31,1824.18,1830.37,1826.8,1827.61,0
2023-06-01,1840.23,1844.84,1831.72,1840.94,0
2023-06-02,1823.63,1829.35,1821.76,1822.96,0
2023-06-05,1797.86,1806.91,1779.27,1795.53,0
2023-06-06,1756.98,1754.49,1751.01,1754.0,0
2023-06-07,1733.56,1740.75,1729.0,1735.84,0
2023-06-08,1744.79,1748.21,1740.38,1746.83,0
2023-06-09,1728.45,1740.72,1728.81,1737.71,0
2023-06-12,1749.02,1751.12,1745.0,1745.49,0
2023-06-13,1713.43,1700.17,1699.48,1699.71,0
2023-06-14,1729.42,1724.66,1720.06,1724.33,0
2023-06-15,1745.52,1742.88,1732.19,1741.44,0
2023-06-16,1740.37,1743.76,1741.21,1743.18,0
2023-06-19,1738.64,1746.16,1733.15,1737.6,0
2023-06-20,1749.73,1747.9,1745.72,1746.98,0
2023-06-21,1757.53,1761.26,1747.93,1757.16,0
2023-06-22,1754.1,1757.06,1749.21,1752.44,0
2023-06-23,1773.73,1778.45,1765.73,1771.36,0
2023-06-26,1745.93,1760.33,1752.12,1753.39,0
2023-06-27,1751.6,1754.02,1748.02,1752.13,0
2023-06-28,1728.75,1733.51,1725.13,1727.44,0
2023-06-29,1756.46,1758.1,1753.03,1756.32,0
2023-06-30,1767.9,1761.83,1755.98,1759.16,0
2023-07-03,1787.97,1791.7,1777.4,1782.24,0
2023-07-04,1799.92,1809.0,1793.36,1794.07,0
2023-07-05,1763.88,1766.76,1757.3,1761.99,0
2023-07-06,1758.73,1779.86,1756.99,1761.65,0
2023-07-07,1748.97,1760.39,1735.87,1753.79,0
